Year,ISO-3 code,Country,Number of commercial banks,Branches of commercial banks,Outstanding deposits with commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP)
2004,AFG,"Afghanistan, Islamic Republic of",10,37,9095,0.0719909,0.3644641,0.0155091,3.64103
2005,AFG,"Afghanistan, Islamic Republic of",12,66,19700,0.1194743,0.5798153,0.0594682,6.392716
2006,AFG,"Afghanistan, Islamic Republic of",12,115,33032.64,0.1945287,0.9185478,0.1157226,9.490818
2007,AFG,"Afghanistan, Islamic Republic of",15,159,58543.37,0.2665196,1.230544,0.2050907,12.06038
2008,AFG,"Afghanistan, Islamic Republic of",16,196,93262.67,0.3247251,1.468112,0.2977774,18.10761
2009,AFG,"Afghanistan, Islamic Republic of",17,310,131001.1,0.5008731,2.210803,0.4462171,21.41619
2010,AFG,"Afghanistan, Islamic Republic of",17,344,152371.5,0.5529516,2.369484,0.5250934,20.98113
2011,AFG,"Afghanistan, Islamic Republic of",17,332,172750.8,0.534571,2.200665,0.6116461,20.31532
2012,AFG,"Afghanistan, Islamic Republic of",16,336,192246.8,0.5391661,2.120887,0.632651,18.68661
2013,AFG,"Afghanistan, Islamic Republic of",16,374,207825.6,0.5973716,2.23949,0.7005585,18.24937
2014,AFG,"Afghanistan, Islamic Republic of",15,403,218847.1,0.6402598,2.289403,0.7448776,18.60202
2015,AFG,"Afghanistan, Islamic Republic of",15,395,237002.4,0.628006,2.147885,0.9115415,19.38264
2016,AFG,"Afghanistan, Islamic Republic of",15,401,254951.5,0.6371963,2.094214,1.052141,19.39977
2017,AFG,"Afghanistan, Islamic Republic of",15,401,270303.5,0.6371963,2.0194,1.203873,19.65121
2018,AFG,"Afghanistan, Islamic Republic of",14,462,273334.9,0.7290997,2.232554,1.599371,19.51436
2004,ALB,Albania,16,197,369245.3,7.773723,9.676817,4.225089,50.05661
2005,ALB,Albania,17,242,429054.1,9.452555,11.69609,9.257524,53.3541
2006,ALB,Albania,17,291,514442.1,11.24088,13.82393,13.86882,58.94596
2007,ALB,Albania,17,399,616765.3,15.18248,18.60144,19.3616,63.87857
2008,ALB,Albania,16,511,632022.7,19.23358,23.49872,28.62653,58.48402
2009,ALB,Albania,16,524,672179.2,19.70803,24.0059,32.94143,58.76021
2010,ALB,Albania,16,529,793727.3,19.89051,24.13042,34.1368,64.02862
2011,ALB,Albania,16,534,889169.8,20.07299,24.09378,35.26453,68.36486
2012,ALB,Albania,16,538,945125.3,20.21898,24.01735,35.6792,70.91218
2013,ALB,Albania,16,529,974289.3,19.89051,23.40907,35.3069,72.16674
2014,ALB,Albania,16,499,1017176,18.79562,21.94188,34.55313,72.8999
2015,ALB,Albania,16,500,1039281,18.83212,21.85143,34.97922,72.45873
2016,ALB,Albania,16,493,1071959,18.57664,21.50958,33.80681,72.79964
2017,ALB,Albania,16,472,1084835,17.81022,20.55975,31.47158,69.93157
2018,ALB,Albania,14,447,1092478,16.82482,19.40268,30.42981,67.17998
2004,DZA,Algeria,21,1061,2705372,0.4542897,4.724235,1.2662,43.99611
2005,DZA,Algeria,19,1090,2960567,0.465626,4.717347,1.501554,39.15067
2006,DZA,Algeria,18,1172,3516600,0.4996347,4.940971,2.383292,41.3638
2007,DZA,Algeria,19,1227,4321800,0.5231469,5.057104,3.713684,46.2082
2008,DZA,Algeria,21,1296,4937959,0.5529571,5.231751,4.194935,44.71289
2009,DZA,Algeria,21,1305,4731816,0.5567358,5.161615,5.321212,47.46994
2010,DZA,Algeria,20,1303,5394999,0.5554762,5.051965,5.91878,44.98995
2011,DZA,Algeria,20,1358,6283280,0.5785686,5.178861,6.095873,43.0687
2012,DZA,Algeria,20,1393,6690041,0.5932637,5.225427,6.209123,41.2721
2013,DZA,Algeria,20,1414,7229169,0.6020808,5.219321,6.515052,43.42386
2014,DZA,Algeria,20,1435,8518492,0.6108979,5.213771,7.50353,49.44391
2015,DZA,Algeria,20,1469,8335055,0.6251732,5.253178,8.266082,49.87263
2016,DZA,Algeria,20,1489,8141512,0.6335704,5.241517,8.680286,46.45627
2017,DZA,Algeria,20,1509,9207501,0.6419676,5.224062,9.084879,49.51837
2018,DZA,Algeria,20,1521,1.01E+07,0.647006,5.175624,9.118637,48.06344
2004,AGO,Angola,11,169,236128.8,0.1443812,1.820352,0.8596105,12.00103
2005,AGO,Angola,12,219,431422.7,0.1852892,2.251685,1.462133,13.38844
2006,AGO,Angola,14,347,706593.5,0.2895645,3.399385,3.060388,16.78464
2007,AGO,Angola,17,412,954220.1,0.3441084,3.896878,4.432812,19.06025
2008,AGO,Angola,19,516,1534091,0.4291329,4.683748,6.277098,23.09211
2009,AGO,Angola,19,603,2365724,0.4989171,5.246241,8.392299,42.41671
2010,AGO,Angola,22,895,2661469,0.7355418,7.450881,10.47348,34.55713
2011,AGO,Angola,22,1050,3597027,0.8598701,8.408406,12.77733,34.25433
2012,AGO,Angola,21,1177,3952867,0.9609369,9.063668,15.23725,32.33442
2013,AGO,Angola,22,1372,4642618,1.118152,10.16817,17.02475,35.18467
2014,AGO,Angola,22,1428,5350991,1.163071,10.19525,18.2038,37.35719
2015,AGO,Angola,27,1512,6109252,1.234459,10.42942,18.81227,43.79301
2016,AGO,Angola,27,1545,7024224,1.260929,10.27576,19.02845,42.44356
2017,AGO,Angola,28,1599,7329423,1.305045,10.2584,19.07925,36.17272
2018,AGO,Angola,26,1530,9396827,1.248095,9.460646,18.85441,35.1418
2004,AIA,Anguilla,4,0,179.447,0,0,0,0
2005,AIA,Anguilla,4,0,217.049,0,0,0,0
2006,AIA,Anguilla,4,0,255.613,0,0,0,0
2007,AIA,Anguilla,4,0,300.508,0,0,0,0
2008,AIA,Anguilla,4,0,274.324,0,0,0,0
2009,AIA,Anguilla,4,6,302.654,0,0,0,0
2010,AIA,Anguilla,4,6,308.869,0,0,0,0
2011,AIA,Anguilla,4,6,343.532,0,0,0,0
2012,AIA,Anguilla,4,6,365.777,0,0,0,0
2013,AIA,Anguilla,4,6,381.679,0,0,0,0
2014,AIA,Anguilla,4,6,401.596,0,0,0,0
2015,AIA,Anguilla,4,6,422.375,0,0,0,0
2016,AIA,Anguilla,3,4,292.198,0,0,0,0
2017,AIA,Anguilla,3,3,308.935,0,0,0,0
2018,AIA,Anguilla,3,3,320,0,0,0,0
2004,ATG,Antigua and Barbuda,8,0,1872.968,0,0,54.02297,75.43596
2005,ATG,Antigua and Barbuda,8,0,2022.912,0,0,66.90455,73.29613
2006,ATG,Antigua and Barbuda,8,0,2241.357,0,0,65.59583,71.74834
2007,ATG,Antigua and Barbuda,8,0,2488.417,0,0,62.60709,70.27871
2008,ATG,Antigua and Barbuda,8,0,2646.849,0,0,69.35931,71.63784
2009,ATG,Antigua and Barbuda,8,17,2450.787,56.81818,39.48636,71.07545,74.14308
2010,ATG,Antigua and Barbuda,8,17,2421.034,56.81818,38.69131,74.28731,77.80506
2011,ATG,Antigua and Barbuda,8,16,2469.664,54.54545,36.43264,75.90133,80.09247
2012,ATG,Antigua and Barbuda,8,16,2548.186,54.54545,35.76378,77.48819,77.90684
2013,ATG,Antigua and Barbuda,8,16,2536.157,54.54545,35.13343,81.97801,78.74105
2014,ATG,Antigua and Barbuda,7,15,2588.252,50,31.66835,79.17087,75.15125
2015,ATG,Antigua and Barbuda,6,15,2547.583,47.72727,29.75052,76.50134,69.41973
2016,ATG,Antigua and Barbuda,6,15,2695.477,47.72727,29.3161,69.80023,68.16224
2017,ATG,Antigua and Barbuda,6,12,2828,40.90909,24.78485,67.46988,69.36084
2018,ATG,Antigua and Barbuda,6,12,3027.414,40.90909,24.46417,67.95602,69.05171
2004,ARG,Argenti0,77,3669,81800.58,1.368807,13.3575,1.86135,16.86209
2005,ARG,Argenti0,75,3669,99147.39,1.368076,13.17225,2.08631,17.0199
2006,ARG,Argenti0,75,3720,120908.4,1.386712,13.18519,2.866345,16.8889
2007,ARG,Argenti0,70,3762,151144.5,1.400232,13.14117,4.938225,16.85037
2008,ARG,Argenti0,69,3796,163622.8,1.41229,13.07985,9.95625,14.23245
2009,ARG,Argenti0,68,3809,196410.1,1.416675,12.95105,13.81957,15.73888
2010,ARG,Argenti0,66,3869,254644.9,1.437868,13.01474,19.24595,15.32417
2011,ARG,Argenti0,66,3957,322848.8,1.470024,13.12245,27.00491,14.81621
2012,ARG,Argenti0,66,4037,421006.6,1.499256,13.20932,34.48975,15.95983
2013,ARG,Argenti0,66,4098,538454.7,1.521546,13.23789,43.31245,16.0814
2014,ARG,Argenti0,65,4147,709003.3,1.539086,13.22296,45.65563,15.48351
2015,ARG,Argenti0,62,4215,1046562,1.562837,13.25607,47.50428,17.57595
2016,ARG,Argenti0,63,4330,1500016,1.605224,13.44774,50.33182,18.23027
2017,ARG,Argenti0,62,4414,1940567,1.635552,13.52915,53.08589,18.23023
2018,ARG,Argenti0,63,4449,3184983,1.648707,13.46467,58.92582,21.86503
2004,ARM,"Armenia, Republic of",20,233,183896.7,8.886547,10.83798,3.041488,9.638468
2005,ARM,"Armenia, Republic of",21,267,218120.1,10.11591,12.30011,4.95421,9.724997
2006,ARM,"Armenia, Republic of",21,299,266358.8,11.2399,13.68031,7.695175,10.02785
2007,ARM,"Armenia, Republic of",22,347,350036.8,12.96101,15.81072,14.48245,11.11481
2008,ARM,"Armenia, Republic of",22,381,379789.8,14.15525,17.31727,23.11835,10.64365
2009,ARM,"Armenia, Republic of",22,391,510541,14.5065,17.79355,30.24472,16.25072
2010,ARM,"Armenia, Republic of",21,409,565563,15.10362,18.55551,34.0472,16.34479
2011,ARM,"Armenia, Republic of",21,442,737746.1,16.26273,19.9768,43.53476,19.52771
2012,ARM,"Armenia, Republic of",21,473,922151.5,17.3516,21.26628,50.36751,21.61397
2013,ARM,"Armenia, Republic of",21,485,1112428,17.77309,21.71002,53.846,24.4187
2014,ARM,"Armenia, Republic of",21,509,1264605,18.61609,22.66332,59.30947,26.18974
2015,ARM,"Armenia, Republic of",21,526,1430401,19.21321,23.32633,60.38405,28.36052
2016,ARM,"Armenia, Republic of",18,523,1664373,19.00246,23.00894,60.90352,32.84541
2017,ARM,"Armenia, Republic of",17,525,1995137,19.03758,23.0085,63.37951,35.85479
2018,ARM,"Armenia, Republic of",17,536,2110387,19.42396,23.43961,63.66419,35.14348
2004,ABW,Aruba,4,0,2660.436,0,0,0,66.69431
2005,ABW,Aruba,4,0,2866.016,0,0,0,68.69645
2006,ABW,Aruba,4,0,2971.26,0,0,0,68.46221
2007,ABW,Aruba,4,0,3122.541,0,0,0,66.70671
2008,ABW,Aruba,4,0,3505.852,0,0,0,71.34416
2009,ABW,Aruba,4,0,3595.271,0,0,0,80.37717
2010,ABW,Aruba,4,0,3664.678,0,0,0,85.64333
2011,ABW,Aruba,4,13,3519.593,94.44444,20.96384,110.9851,77.11641
2012,ABW,Aruba,4,14,3812.361,100,21.96729,119.5997,84.02823
2013,ABW,Aruba,4,12,3804.18,88.88889,19.29478,124.2101,82.32374
2014,ABW,Aruba,4,12,3904.073,88.88889,19.06555,117.9681,82.31231
2015,ABW,Aruba,4,12,4111.108,88.88889,18.86214,119.0673,85.3281
2016,ABW,Aruba,5,12,4375.609,94.44444,19.82692,125.9593,92.35139
2017,ABW,Aruba,5,11,4409.114,88.88889,18.49839,124.8642,91.21047
2018,ABW,Aruba,5,10,4544.342,83.33333,17.21151,126.2177,94.0079
2004,AUS,Australia,50,4888,402912.7,0.6427763,30.66425,139.554,46.79378
2005,AUS,Australia,52,4960,442632.3,0.6524088,30.641,146.4312,47.98853
2006,AUS,Australia,53,5147,506029.2,0.6768806,31.23817,154.701,50.78422
2007,AUS,Australia,53,5264,578157.7,0.6921104,31.66872,155.2583,53.20831
2008,AUS,Australia,55,5361,693389,0.7049972,31.56301,157.8209,58.8959
2009,AUS,Australia,53,5422,764635.6,0.7126772,31.21108,154.2996,60.67838
2010,AUS,Australia,54,5432,832095.4,0.7141091,30.74734,168.6564,63.94777
2011,AUS,Australia,61,5440,903726.4,0.7160616,30.40556,170.4668,63.79446
2012,AUS,Australia,66,5632,974448.1,0.741705,30.92706,164.6386,64.98669
2013,AUS,Australia,69,5582,1049674,0.735587,30.1204,161.0863,68.32447
2014,AUS,Australia,70,5483,1128180,0.7228304,29.14337,165.13,70.57607
2015,AUS,Australia,74,5480,1227288,0.7229606,28.73226,163.7904,75.55368
2016,AUS,Australia,82,5357,1317079,0.7070964,27.72279,167.5855,79.23057
2017,AUS,Australia,84,5816,1405944,0.7670287,29.6119,160.2205,79.67891
2018,AUS,Australia,88,5609,1481942,0.7406377,28.19145,146.0294,80.20579
2004,AUT,Austria,47,907,74863.65,11.55243,13.92817,116.1557,30.89094
2005,AUT,Austria,44,877,73989.8,11.15282,13.32138,106.788,29.12124
2006,AUT,Austria,48,864,74466.45,11.04384,13.09334,108.3359,27.8042
2007,AUT,Austria,51,852,85733.04,10.93512,12.88147,108.6152,30.19003
2008,AUT,Austria,51,836,86823.31,10.74136,12.56997,110.1537,29.55567
2009,AUT,Austria,51,784,89345.01,10.11165,11.76476,112.3358,31.01783
2010,AUT,Austria,47,758,85593.13,9.749186,11.28622,112.9183,28.9267
2011,AUT,Austria,46,1039,87223.11,13.1418,15.12645,113.8039,28.12482
2012,AUT,Austria,45,1108,89928.62,13.96662,15.9733,115.6367,28.22148
2013,AUT,Austria,43,1087,92391.87,13.69183,15.54347,117.2913,28.52391
2014,AUT,Austria,42,1046,98952.86,13.1842,14.83545,186.3976,29.70255
2015,AUT,Austria,42,982,101338,12.40866,13.79616,183.2707,29.43659
2016,AUT,Austria,41,908,103983.1,11.49982,12.64469,162.7821,29.18926
2017,AUT,Austria,39,871,102916.7,11.02723,12.04047,164.7691,27.82292
2018,AUT,Austria,38,867,106274.1,10.96664,11.90882,168.8947,27.52546
2004,AZE,"Azerbaijan, Republic of",44,350,1118,4.765821,6.518077,0,13.10637
2005,AZE,"Azerbaijan, Republic of",44,374,1369,5.056859,6.752052,0,10.93232
2006,AZE,"Azerbaijan, Republic of",44,420,2162,5.614918,7.333466,17.06928,11.533
2007,AZE,"Azerbaijan, Republic of",46,485,3411,6.426315,8.208717,20.35947,12.02729
2008,AZE,"Azerbaijan, Republic of",46,567,4760,7.418882,9.187503,22.70647,11.85932
2009,AZE,"Azerbaijan, Republic of",46,626,4654,8.133427,9.786429,24.66996,13.07248
2010,AZE,"Azerbaijan, Republic of",45,644,5449,8.335753,9.861532,27.07985,12.83174
2011,AZE,"Azerbaijan, Republic of",44,666,6927.5,8.58961,10.00147,30.03258,13.30114
2012,AZE,"Azerbaijan, Republic of",43,655,7916,8.444434,9.697452,31.39863,14.46011
2013,AZE,"Azerbaijan, Republic of",43,700,9214.245,8.988736,10.20297,33.25921,15.83693
2014,AZE,"Azerbaijan, Republic of",45,752,11155.31,9.641557,10.82791,35.43187,18.90279
2015,AZE,"Azerbaijan, Republic of",43,750,17104.29,9.593168,10.66057,36.21635,31.45322
2016,AZE,"Azerbaijan, Republic of",32,0,16562.97,0,0,32.73286,27.41071
2017,AZE,"Azerbaijan, Republic of",30,0,18664.06,0,0,32.15495,26.5349
2018,AZE,"Azerbaijan, Republic of",30,0,20322.76,0,0,32.80967,25.46801
2004,BHS,"Bahamas, The",8,0,4146.839,0,0,64.31252,45.79466
2005,BHS,"Bahamas, The",8,0,4583.154,0,0,65.36975,46.59476
2006,BHS,"Bahamas, The",8,0,4952.9,0,0,64.58514,48.71425
2007,BHS,"Bahamas, The",8,95,5473.947,10.28971,40.53442,66.50794,51.55182
2008,BHS,"Bahamas, The",8,95,5813.049,10.28971,39.4757,67.07037,55.22562
2009,BHS,"Bahamas, The",8,92,5928.595,9.99001,37.31302,67.90969,59.3931
2010,BHS,"Bahamas, The",8,93,6065.882,10.08991,36.73328,66.92004,60.08346
2011,BHS,"Bahamas, The",8,93,6181.071,10.08991,36.09979,77.56094,61.3783
2012,BHS,"Bahamas, The",8,94,6153.041,10.18981,35.8404,76.2487,57.39509
2013,BHS,"Bahamas, The",8,93,6194,10.08991,34.93456,107.2249,58.28221
2014,BHS,"Bahamas, The",8,93,6290,10.08991,34.45241,113.9317,57.40465
2015,BHS,"Bahamas, The",8,83,6323,9.090909,30.658,116.2309,53.61973
2016,BHS,"Bahamas, The",8,84,6756,9.190809,30.6188,133.7908,57.06659
2017,BHS,"Bahamas, The",8,74,6848.911,8.191808,27.00246,119.206,56.31356
2018,BHS,"Bahamas, The",8,76,6843,8.391608,27.3944,124.5793,56.26495
2004,BGD,Bangladesh,49,6304,1371377,48.80541,7.133517,0.1291287,35.77872
2005,BGD,Bangladesh,48,6404,1593386,49.56595,7.078365,0.2018628,37.30936
2006,BGD,Bangladesh,48,6565,1889771,50.8028,7.109786,0.3547905,39.17948
2007,BGD,Bangladesh,48,6727,2192002,52.04732,7.145109,0.5125495,39.8691
2008,BGD,Bangladesh,48,6902,2609368,53.39172,7.194877,0.844751,41.50536
2009,BGD,Bangladesh,48,7244,3125495,56.01905,7.412516,1.28794,44.32875
2010,BGD,Bangladesh,47,7641,3739908,59.06123,7.673957,2.117126,46.89312
2011,BGD,Bangladesh,47,8009,4568968,61.8883,7.883795,3.715835,49.88889
2012,BGD,Bangladesh,47,8382,5404547,64.75378,8.090311,4.047555,51.21803
2013,BGD,Bangladesh,56,8724,6221742,67.45026,8.267518,4.965219,51.89442
2014,BGD,Bangladesh,56,9111,7125966,70.42329,8.469786,5.78296,53.03343
2015,BGD,Bangladesh,56,9458,7984464,73.08904,8.626907,7.108085,52.67484
2016,BGD,Bangladesh,57,9747,9036524,75.31689,8.72895,8.045164,52.14791
2017,BGD,Bangladesh,57,10055,9875946,77.68303,8.841318,8.377044,49.98416
2018,BGD,Bangladesh,58,10375,1.08E+07,80.14904,8.960822,8.874074,47.83931
2004,BRB,Barbados,6,0,6135.662,0,0,0,87.29441
2005,BRB,Barbados,6,0,6705.398,0,0,0,86.0262
2006,BRB,Barbados,6,36,6937.91,97.67442,19.05082,30.39059,83.0589
2007,BRB,Barbados,6,37,8495.862,100,19.3712,31.98501,90.91832
2008,BRB,Barbados,6,37,8391.186,100,19.23903,36.68838,87.7372
2009,BRB,Barbados,6,36,8233.466,97.67442,18.67987,36.91498,91.89238
2010,BRB,Barbados,6,36,8027.553,97.67442,18.58983,36.73704,88.60629
2011,BRB,Barbados,7,38,7644.935,104.6512,19.80712,32.57171,82.01136
2012,BRB,Barbados,6,41,8360.346,109.3023,20.60211,36.38245,89.7736
2013,BRB,Barbados,6,38,8544.169,102.3256,19.22732,37.14369,92.61972
2014,BRB,Barbados,6,42,8495.68,111.6279,20.91895,43.14534,92.17703
2015,BRB,Barbados,5,32,9034.4,86.04651,16.08213,36.94544,98.53953
2016,BRB,Barbados,5,33,9445.44,88.37209,16.45755,23.82014,104.2762
2017,BRB,Barbados,5,35,9388.316,93.02326,17.26557,26.76163,100.442
2018,BRB,Barbados,5,35,9747.313,93.02326,17.21185,26.67837,104.2828
2004,BLR,Belarus,35,463,7386004,2.4555,6.096447,10.85853,147744.3
2005,BLR,Belarus,33,440,1.04E+07,2.332002,5.799036,15.39871,159884.1
2006,BLR,Belarus,32,421,1.43E+07,2.232627,5.567515,18.95167,180800.7
2007,BLR,Belarus,31,365,1.97E+07,1.9517,4.875529,25.6704,203196.9
2008,BLR,Belarus,33,323,2.57E+07,1.754559,4.390215,30.23822,198134.5
2009,BLR,Belarus,33,264,3.19E+07,1.464353,3.667875,33.35667,232033.4
2010,BLR,Belarus,32,226,4.14E+07,1.271562,3.192415,37.90064,242571.8
2011,BLR,Belarus,31,138,9.48E+07,0.8328816,2.098577,41.18923,308653.4
2012,BLR,Belarus,32,105,1.38E+08,0.6751762,1.707225,46.12,251278.7
2013,BLR,Belarus,31,94,1.73E+08,0.6160367,1.562742,51.10791,257461.7
2014,BLR,Belarus,31,65,2.14E+08,0.4731162,1.203652,54.69095,265308.4
2015,BLR,Belarus,30,41,2.95E+08,0.3499088,0.8921416,55.46356,328336.4
2016,BLR,Belarus,29,39,29946,0.3351239,0.8566219,55.25211,31.53904
2017,BLR,Belarus,28,34,34795.45,0.3055542,0.783214,55.63346,33.07584
2018,BLR,Belarus,0,0,0,0,0,0,0
2004,BEL,Belgium,104,4837,236431,163.177,57.27765,83.89362,79.15047
2005,BEL,Belgium,104,4564,250536,154.1612,53.76934,83.57977,80.43385
2006,BEL,Belgium,105,4574,270326,154.5244,53.50813,83.11542,82.75401
2007,BEL,Belgium,110,4425,282923,149.7688,51.44378,86.71142,82.07506
2008,BEL,Belgium,107,4316,286326,146.07,49.74149,87.60709,80.868
2009,BEL,Belgium,104,4201,310755,142.1731,47.99654,87.37488,89.09743
2010,BEL,Belgium,107,3973,335640,134.7424,45.05245,91.76123,91.93085
2011,BEL,Belgium,108,3881,343683,131.7371,43.49575,93.31579,90.6561
2012,BEL,Belgium,104,3820,369436,129.5905,42.52829,94.21468,95.3383
2013,BEL,Belgium,104,3738,390630,126.8824,41.44779,93.93178,99.5642
2014,BEL,Belgium,104,3607,398566,122.5561,39.86865,90.49142,99.61993
2015,BEL,Belgium,99,3508,413232,119.1215,38.54821,90.01707,100.5179
2016,BEL,Belgium,90,3347,434637,113.5073,36.55784,88.35786,102.3627
2017,BEL,Belgium,88,3195,445332,108.4214,34.81228,87.44954,101.4021
2018,BEL,Belgium,87,0,469719,0,0,0,104.2648
2004,BLZ,Belize,5,38,1218.328,1.885138,25.66061,28.04765,57.58535
2005,BLZ,Belize,5,39,1306.457,1.928979,25.40196,29.44318,58.62744
2006,BLZ,Belize,5,37,1387.893,1.841298,23.37515,31.16687,57.00037
2007,BLZ,Belize,5,44,1600.872,2.148181,26.28967,32.72796,62.02322
2008,BLZ,Belize,5,47,1820.047,2.279702,26.90356,34.14682,66.4918
2009,BLZ,Belize,5,47,1955.423,2.279702,25.96158,35.44754,73.22489
2010,BLZ,Belize,5,47,1962.059,2.279702,25.07547,37.13098,70.23751
2011,BLZ,Belize,5,47,2064.722,2.279702,24.21995,38.65877,69.44464
2012,BLZ,Belize,5,47,2292,2.279702,23.43208,37.85182,73.28172
2013,BLZ,Belize,6,49,2306,2.411223,24.00405,40.15223,71.68427
2014,BLZ,Belize,6,49,2052,2.411223,23.26349,40.60536,60.60406
2015,BLZ,Belize,6,45,2381,2.235861,20.91921,40.19771,67.54608
2016,BLZ,Belize,5,46,2666,2.235861,20.34466,39.8915,73.78312
2017,BLZ,Belize,5,46,2632,2.235861,19.79053,38.80496,70.65336
2018,BLZ,Belize,5,46,2708,2.235861,19.26418,44.94976,70.33766
2004,BEN,Benin,9,32,495658,0.3636041,0.9555141,0,20.75098
2005,BEN,Benin,12,37,555986,0.4345513,1.104837,0,21.94277
2006,BEN,Benin,12,63,605995,0.6651295,1.640799,0,22.53691
2007,BEN,Benin,12,84,801373,0.8513657,2.037696,0,28.01024
2008,BEN,Benin,12,107,934450,1.055339,2.450322,0,29.2555
2009,BEN,Benin,12,130,1039929,1.259312,2.835573,0,31.03154
2010,BEN,Benin,13,145,1199748,1.401206,3.058607,2.516575,34.75314
2011,BEN,Benin,13,162,1278950,1.551969,3.288108,2.874746,34.68621
2012,BEN,Benin,12,168,1395659,1.596311,3.280504,3.590329,33.53257
2013,BEN,Benin,13,177,1584775,1.684995,3.357255,4.488119,35.02962
2014,BEN,Benin,15,187,1816774,1.791415,3.459709,4.521599,37.8534
2015,BEN,Benin,15,205,2032590,1.951046,3.651834,4.597991,41.44928
2016,BEN,Benin,16,209,2084681,1.995388,3.622219,4.845724,41.00511
2017,BEN,Benin,15,201,2060597,1.915573,3.371337,4.885318,38.28361
2018,BEN,Benin,15,201,0,1.915573,3.267783,4.73526,0
2004,BTN,Bhutan,3,56,16632.71,1.547866,14.43054,0.489171,52.22931
2005,BTN,Bhutan,3,56,18706.18,1.547866,13.80979,0.4681286,51.80026
2006,BTN,Bhutan,3,56,22894.58,1.547866,13.28889,0.4504707,56.28866
2007,BTN,Bhutan,3,56,25775.86,1.547866,12.82676,2.174026,52.11813
2008,BTN,Bhutan,3,58,32827.79,1.600336,12.83427,3.155968,59.96601
2009,BTN,Bhutan,3,60,43309.1,1.652806,12.84959,4.079235,70.74224
2010,BTN,Bhutan,5,67,52902.33,1.888921,14.25215,8.313753,72.97175
2011,BTN,Bhutan,5,79,51109.65,2.203741,16.18871,13.87604,60.16439
2012,BTN,Bhutan,5,61,55486.94,1.731511,12.38941,7.696452,56.93713
2013,BTN,Bhutan,5,82,58355.17,2.282446,15.92377,19.58441,55.37679
2014,BTN,Bhutan,5,81,75343.99,2.256211,15.37482,21.98957,63.02521
2015,BTN,Bhutan,5,82,78213.37,2.282446,15.22304,26.59658,59.21628
2016,BTN,Bhutan,5,84,93168.59,2.334916,15.26914,32.25391,62.66428
2017,BTN,Bhutan,5,96,109571.7,2.649736,17.02659,36.58187,64.14979
2018,BTN,Bhutan,0,0,0,0,0,0,0
2004,BOL,Bolivia,11,241,19713.35,0.2326225,4.410085,0,28.31315
2005,BOL,Bolivia,11,282,21310.36,0.2704699,5.007937,0,27.66723
2006,BOL,Bolivia,10,327,24011.73,0.3110865,5.627728,0,26.17146
2007,BOL,Bolivia,10,939,28810.23,0.876027,15.48777,13.154,27.9686
2008,BOL,Bolivia,10,997,35189.34,0.9295671,16.06327,14.30859,29.15589
2009,BOL,Bolivia,10,1156,42415.07,1.076341,18.17898,16.74462,34.8445
2010,BOL,Bolivia,9,1326,43800.04,1.232346,20.34086,19.85329,31.7678
2011,BOL,Bolivia,9,1600,51733.92,1.485276,23.96749,24.26541,31.1216
2012,BOL,Bolivia,9,1740,62531.44,1.614511,25.46604,27.60641,33.41178
2013,BOL,Bolivia,9,2016,73130.5,1.869288,28.82186,31.14184,34.51896
2014,BOL,Bolivia,9,2301,87503.81,2.132373,32.15129,34.32254,38.37825
2015,BOL,Bolivia,9,2525,104171.3,2.339149,34.50896,37.79099,45.68288
2016,BOL,Bolivia,9,2875,102783.8,2.662236,38.46321,39.7302,43.82484
2017,BOL,Bolivia,9,3109,119447.7,2.878242,40.75032,39.71784,46.08593
2018,BOL,Bolivia,9,3169,124753.2,2.933629,40.72293,40.49228,44.81276
2004,BIH,Bosnia and Herzegovi0,33,0,4324,0,0,0,25.90924
2005,BIH,Bosnia and Herzegovi0,33,819,5344,16.64063,27.49634,0,30.27704
2006,BIH,Bosnia and Herzegovi0,32,851,6785.937,17.24609,28.28703,15.76129,33.8329
2007,BIH,Bosnia and Herzegovi0,32,965,8360.572,19.47266,31.80929,20.89778,37.07923
2008,BIH,Bosnia and Herzegovi0,30,1034,8818.726,20.78125,33.9132,28.71785,34.55704
2009,BIH,Bosnia and Herzegovi0,30,982,9155.138,19.76563,32.29988,43.24736,36.91808
2010,BIH,Bosnia and Herzegovi0,29,955,9981.926,19.21875,31.51849,35.17002,39.35322
2011,BIH,Bosnia and Herzegovi0,29,972,10475.43,19.55078,32.39707,38.90237,39.93493
2012,BIH,Bosnia and Herzegovi0,29,952,10932.9,19.16016,32.13175,42.05624,41.69249
2013,BIH,Bosnia and Herzegovi0,28,967,11901.59,19.43359,33.01817,45.39584,44.44417
2014,BIH,Bosnia and Herzegovi0,27,987,12666.21,19.80469,34.11168,47.97165,46.29682
2015,BIH,Bosnia and Herzegovi0,27,893,13659.05,17.96875,31.36862,51.45136,47.7772
2016,BIH,Bosnia and Herzegovi0,24,849,14668.85,17.05078,30.05444,52.05305,49.05237
2017,BIH,Bosnia and Herzegovi0,24,846,15985.84,16.99219,30.22958,53.47508,50.94886
2018,BIH,Bosnia and Herzegovi0,24,841,17352,16.89453,30.31355,55.44051,52.9373
2004,BWA,Botswa0,5,73,11875.9,0.1376317,6.858777,15.30035,28.2514
